date;tweet;nlikes;nretweets;hashtags
2022-04-23 21:36:07;Comble du comble, un soutien d'@EmmanuelMacron affiche son champion avec le slogan de Hitler... Mais il ne faut pas compter sur le système pour dénoncer ses dérives d'extrême-droite !  https://t.co/EgK0ZwMi61;288;204;[]
2022-04-23 21:35:54;This. L'appel au vote barrage ok, mais au prétexte que Macron serait un démocrate, non. C'est un démagogue qui n'a pas encore eu besoin de changer la constitution a son dernier mandat, il faut aussi le dire. Ce bulletin de demain ne vous engage à rien, votre conscience est sauve;122;11;[]
2022-04-23 21:35:29;C’sidérant E.#Macron a décidé de fournir à l’#Ukraine des canons français Cesar de 155 très performant c’est là un acte de co-belligérance qui risque d’entraîner la F dans un engrenage alors qu’il est urgent d’avoir un cessez-le-feu et une solution négociée!;7424;3652;['macron', 'ukraine']
2022-04-23 21:34:50;⚠️N'oubliez pas de vous saouler ce soir, demain on va devoir mettre un bulletin Macron et s'en remettre pour 5 ans avec cette clique de connards.;512;26;[]
2022-04-23 21:30:30;7/10 Il n'y a aucun doute à avoir : les gagnants du système se déplaceront et iront tous voter Macron. Ils ne rêvent que d'une chose : que les perdants restent chez eux, ne votent pas, ou au pire se taisent. Seul le vote Macron doit rester socialement acceptable.;273;74;[]
2022-04-23 21:30:30;"6/10 Les gagnants de la politique d'Emmanuel Macron useront de tout leur pouvoir pour faire pencher la balance en leur faveur jusqu'à dimanche soir et biaiser l'élection. La pression sociale est à son paroxysme pour permettre au ""camp du bien"" de gagner.";260;61;[]
2022-04-23 21:30:29;4/10 Le report de voix de la France Insoumise en tant que 3ème force pour ce scrutin sera certainement  déterminant. Leurs réponses aux sondages montrent très nettement un rejet d’Emmanuel Macron et  une préférence objective qui irait plutôt vers un vote pour le contrer.;272;63;[]
2022-04-23 21:30:28;2/10 Les “grands” médias font partie des gagnants et piétinent sans vergogne la charte de Munich dans leur propre intérêt. Les “élites” parisiennes s’invitent sur les radios ou les télés pour appeler le bas  peuple à continuer à voter Macron, leur bienfaiteur et protecteur.;318;78;[]
2022-04-23 21:30:28;1/10 Depuis 15 jours, les médias français ont fait leur coming out en affichant un soutien total au Président sortant et en multipliant les injonctions à voter pour lui. Il faut bien comprendre qu’il est tout à fait normal que les gagnants du système appellent à voter Macron.;1165;524;[]
2022-04-23 21:25:56;"Xavier Bertrand a dit une chose de vrai: "" si je ne gagne  pas la primaire, Macron sera réélu"", demain nous allons tous en votant massivement pour vous savez qui lui donner raison.";179;23;[]
2022-04-23 21:24:53;Vitality Macron ? Coup de com ou vrai passionné mes frères ?  https://t.co/MVVNn8pROZ;685;37;[]
2022-04-23 21:21:08;@bertrand_amar @AbacaPhoto @TeamVitality @EmmanuelMacron @avecvous sa meuf c'est iggy pop;206;12;[]
2022-04-23 21:17:11;Et c'est pour ça qu'elle va voter Macron mdrrr;124;7;[]
2022-04-23 21:15:10;Macron dégage et surtout pars loin. Mon fils (fdo) me dit : papa on vote tous Contre Macron.  https://t.co/vrfmma4IoA;219;160;[]
2022-04-23 21:14:44;@fasterfnn @bertrand_amar @AbacaPhoto @TeamVitality @EmmanuelMacron @avecvous Ah moi ça me gêne pas et j'apprécie le coup de comm au final ça sert notre paroisse   J'avais juste envie de troll;247;0;[]
2022-04-23 21:11:41;@JOHNJOHNCMOI @bertrand_amar @AbacaPhoto @TeamVitality @EmmanuelMacron @avecvous Ouais illégal au moins ça, la DGSI est sur le coup;264;0;[]
2022-04-23 21:06:55;Mon espoir, #Macron élu avec 51% et autant d'abstention, suivi pour lui d'une débâcle aux législatives. 🙏;1042;163;['macron']
2022-04-23 21:05:37;@bertrand_amar @AbacaPhoto @TeamVitality @EmmanuelMacron @avecvous V pour Viens on farm des votes;3671;101;[]
2022-04-23 21:04:14;Pendant que vous bouffez du macron fariné et du zelensky en résilles, une loi européenne vient d’être votée pour réguler les réseaux sociaux (verrouiller), Facebook, et Twitter, entre autre. La lutte contre les propos haineux etc, etc…;848;653;[]
2022-04-23 21:01:01;Macron entraîne silencieusement la France dans la guerre contre la Russie en livrant des camions canon Caesar! Voilà une bonne raison de s'inquiéter !;167;140;[]
2022-04-23 20:59:57;Voilà pourquoi demain je vais voter Macron puis vomir mais voter Macron tout de même.;365;36;[]
2022-04-23 20:59:12;"Jamais bloqué autant de trolls que ce soir  Profil: compte très récent &amp; pseudo maghrébin Pas vraiment fan en apparence de Macron Mais déteste le Pen  Quand tu regardes profil: plutôt habiles payés pr faire de l entrisme communautaire Haineux  @YvesPDB @PhilippeMurer @Poulin2012";144;31;[]
2022-04-23 20:59:10;Olivier Delamarche (analyste économique) : « Si Macron est élu, eh bien lundi matin je me casse ! J’en ai plus rien à foutre !! Je ne supporte pas l’idée de vivre dans un pays où les gens sont assez cons pour voter pour quelqu’un qui est manifestement une ordure !!!  https://t.co/PYbFXcjVY1;1829;997;[]
2022-04-23 20:57:50;#Presidentielles  ...  La situation devient de plus en plus confuse !  Les nazis #ukrainiens appellent le peuple français à voter #Macron pour faire barrage à l'extrême droite...  Tandis que Macron livre des canons Caesar et des missiles antichars Milan à l’Ukraine...  https://t.co/nYcYFKXDov;187;204;['presidentielles', 'ukrainiens', 'macron']
2022-04-23 20:46:51;@SalvatoreRen @Mandrinvienne Malgré cela demain des gens normalement constitués voteront Macron. C’est incompréhensible;112;21;[]
2022-04-23 20:40:43;@_dieuoff Ceux qui vote Macron demain  https://t.co/pLKjMWdthq;538;53;[]
2022-04-23 20:40:02;Le président de la République,  @EmmanuelMacron a bien mérité sa pause au #Touquet....  https://t.co/9kYqhQNCK5;428;83;['touquet']
2022-04-23 20:35:30;Que la Force soit avec toi, @EmmanuelMacron!;483;41;[]
2022-04-23 20:30:24;@epicsefy Mdrr putain qu'on laisse le gaming en dehors de la politique par pitié que macron aille se faire foutre;193;0;[]
2022-04-23 20:28:45;Et on sera la aussi aux législatives, car Macron est largement responsable de ce climat.;187;24;[]
2022-04-23 20:24:55;C'est passé inaperçu mais, mine de rien, l'annonce de Macron affirmant que la France livre des armes à l'Ukraine signifie que nous sommes dorénavant cobéligerants dans ce conflit. Donc @EmmanuelMacron s'assied sur l’article 35 de la Constitution ? 😡   https://t.co/eGlUntUfyI;819;672;[]
2022-04-23 20:22:07;Il faut bien comprendre ce que cela implique : pour Emmanuel Macron et son monde (qui inclut une bonne partie des médias), il n'y a plus d'opposition légitime à Emmanuel Macron.  On est avec lui ou en dehors de la République.;355;102;[]
2022-04-23 20:20:31;À TRAVERS LE  SOUTIEN DE L’UE ET DE MACRON À CETTE TROUBLANTE « GUERRE » UKRAINIENNE EN METTANT LE BATAILLON AZOV SUR LE DEVANT DE LA SCÈNE, N’EST-CE PAS INCITER LE RETOUR DES NAZIS AU SEIN DE L’UE??!  https://t.co/UalB9CxAGv;117;77;[]
2022-04-23 20:18:14;Il faut espérer que les 10 millions de connards comme moi, qui ne sont pas vaccinés voteront CONTRE MACRON….possiblement, on peut faire basculer la balance du bon côté , côté du peuple….et pas des nantis…;3262;1121;[]
2022-04-23 20:17:58;Je vous épargne détails mais en substance la vie de sa fille s est transformée en cauchemar sous Macron et dc la sienne  Il a parlé des banlieues, de son quotidien comme taxi, les ministres et chefs d’entreprises arrogants et racistes qu il entend parler comme s’il n’existait pas;187;42;[]
2022-04-23 20:17:47;Les chrétiens qui voteront Macron, incités notamment par le média @LaCroix , ne vous étonnez pas de subir, dans quelques années, le même sort que les Coptes d'Egypte...;1200;601;[]
2022-04-23 20:17:39;MACRON va socialement et économiquement nous tuer...Je pensais m'abstenir mais je vais  voter #LePen juste pour casser le système et le chantage  https://t.co/eAGH7ILc5v;364;250;['lepen']
2022-04-23 20:10:54;Info vérifié de plusieurs sources. Que faisaient 50 officiers de l'Armée Française à Marioupol pour combattre l'armée Russe. Là encore, #Macron pousse la France vers la guerre. le réélire c'est, à coup sûr, la guerre planétaire. #ToutSaufMacron;197;208;['macron', 'toutsaufmacron']
2022-04-23 20:08:01;Le seul bulletin demain a mettre dans les urnes. Mobilisons nous aux urnes demain. Faisons mentir les sondages. A tout les patriotes de droite, de gauche ou d'ailleurs Votons Marine Le Pen 🇫🇷 Sortons Macron 💪 #DimancheJeVoteMarine #JeVoteMarineLePen #Presidentielles  https://t.co/ZI0lY4umAD;395;103;['dimanchejevotemarine', 'jevotemarinelepen', 'presidentielles']
2022-04-23 20:07:44;Si Macron passe c'est la guerre civile assurée en France et guerre contre la Russie #TousContreMacron;184;89;['touscontremacron']
2022-04-23 20:03:21;"Ts les partis se sont ralliés à Macron. Seuls, nous sommes perdus. C'est pourquoi, au risque de passer pr un fou, j'appelle ts les croyants, quelle que soit leur foi à prier 1h, entre 22h et 8h POUR la liberté vaccinale, POUR la protection de nos enfants, POUR la vérité &amp; la vie.";384;140;[]
2022-04-23 20:02:59;C'est plus facile d'appeller à voter Macron hein @DanyCaligula et @WXelka 🤐;609;61;[]
